effect,level,mean_valence,std_valence,mean_arousal,std_arousal
chorus,1,5.284696e-05,0.097025014,-0.00298265,0.12853828
chorus,2,-0.0047463467,0.09889932,-0.0025185945,0.12586145
chorus,3,-0.0031532005,0.09834538,-0.0072599226,0.12824462
chorus,4,0.0040215915,0.10133726,0.005063874,0.1298917
chorus,5,0.01440723,0.102121584,0.02337194,0.13122354
chorus,6,0.013494864,0.10067164,0.022385912,0.13087404
chorus,7,0.013670343,0.10075871,0.026102968,0.13094495
chorus,8,0.016591365,0.100007,0.031894803,0.13232303
chorus,9,0.017640093,0.10138149,0.030317083,0.12954772
chorus,10,0.018570794,0.09980636,0.031874195,0.13018285
delay,1,0.012238474,0.09904693,0.022130556,0.13157086
delay,2,0.0061876196,0.10400906,0.013028806,0.1347004
delay,3,0.014138415,0.10043107,0.023236183,0.13474292
delay,4,0.01148057,0.10139395,0.01914455,0.13576826
delay,5,0.009627228,0.10173105,0.019271294,0.13469936
delay,6,0.012907853,0.10247237,0.019608442,0.1360156
delay,7,0.015424815,0.09987006,0.025060598,0.13631304
delay,8,0.015849201,0.10134631,0.027744476,0.13762291
delay,9,0.014131083,0.10398337,0.02204494,0.13880572
delay,10,0.016927958,0.103783615,0.024578638,0.13563552
distortion,1,0.06842033,0.10272157,0.083835065,0.115245044
distortion,2,0.08500322,0.10324775,0.096650675,0.10953975
distortion,3,0.09741824,0.10125073,0.10611515,0.10369924
distortion,4,0.11057476,0.101754524,0.115206994,0.09555941
distortion,5,0.121662654,0.098042294,0.12130485,0.090393566
distortion,6,0.13029343,0.09650942,0.1244731,0.08439286
distortion,7,0.13812317,0.093232855,0.12778841,0.082371466
distortion,8,0.1441034,0.089981884,0.12886664,0.075318694
distortion,9,0.14637792,0.09030517,0.12721305,0.07315
distortion,10,0.14543416,0.08989357,0.1233624,0.07034509
eq,1,0.018597933,0.094411075,0.029351257,0.117001764
eq,2,-0.005154319,0.08817552,0.003432248,0.10997541
eq,3,-0.019222094,0.08372275,-0.013783214,0.10565185
eq,4,-0.029008567,0.07917175,-0.022368908,0.1019799
eq,5,-0.036970206,0.07779087,-0.031841405,0.0999545
eq,6,-0.03961398,0.07689541,-0.037341043,0.09982614
eq,7,-0.044127867,0.075300545,-0.041566346,0.09752117
eq,8,-0.046976,0.07385376,-0.04665663,0.09746203
eq,9,-0.04950676,0.07261989,-0.048809323,0.094789065
eq,10,-0.04971841,0.072224826,-0.051206276,0.093833975
phaser,1,0.028982835,0.106139325,0.038245194,0.13645715
phaser,2,0.028673556,0.10700277,0.03381074,0.1359707
phaser,3,0.02812554,0.10734232,0.035831846,0.13667765
phaser,4,0.028251069,0.10499676,0.03499781,0.13502894
phaser,5,0.024424544,0.10510865,0.02808577,0.13642621
phaser,6,0.022575792,0.104330935,0.025674272,0.1348609
phaser,7,0.025511716,0.10267854,0.032182626,0.13447297
phaser,8,0.025817173,0.10294923,0.033303384,0.13513805
phaser,9,0.024512153,0.10228749,0.033252113,0.13224898
phaser,10,0.026022928,0.10254523,0.03195797,0.13370821
reverb,1,0.030275576,0.103616215,0.050161436,0.13301675
reverb,2,0.028868202,0.10633546,0.049698997,0.13328724
reverb,3,0.03230127,0.104013264,0.052348386,0.13010477
reverb,4,0.031273574,0.10516741,0.053769406,0.13188906
reverb,5,0.033177704,0.10388441,0.05742196,0.12870046
reverb,6,0.036304887,0.10332017,0.057812233,0.12614605
reverb,7,0.040171966,0.102932416,0.060924187,0.1237941
reverb,8,0.04634858,0.102980845,0.0645835,0.11915785
reverb,9,0.052824844,0.10298628,0.069593005,0.1166054
reverb,10,0.061438803,0.10061496,0.07803256,0.108867876
