effect,level,mean_valence,std_valence,mean_arousal,std_arousal
chorus,1,-0.10090134,0.21516809,0.33709428,0.29741386
chorus,2,-0.080122694,0.22308515,0.34259126,0.3351923
chorus,3,-0.097639866,0.21140738,0.34055784,0.3282794
chorus,4,-0.090005025,0.22711314,0.3729022,0.31374216
chorus,5,-0.0755369,0.21805815,0.341959,0.30405733
chorus,6,-0.08888145,0.21258155,0.4037907,0.30447704
chorus,7,-0.05733209,0.20749412,0.4285489,0.2809441
chorus,8,-0.05171816,0.21290773,0.4396705,0.27731395
chorus,9,-0.06166411,0.21998236,0.4583994,0.25257915
chorus,10,-0.05294419,0.20120376,0.44497487,0.265334
delay,1,-0.06865122,0.21616298,0.3272659,0.34006998
delay,2,-0.06412603,0.21739817,0.34541607,0.33598468
delay,3,-0.07533906,0.20755886,0.33994132,0.31928778
delay,4,-0.089320585,0.23654531,0.34214687,0.31111094
delay,5,-0.06593602,0.23626132,0.35106647,0.3220523
delay,6,-0.0819347,0.2228104,0.35639343,0.3112862
delay,7,-0.07321497,0.20904312,0.3472774,0.3229584
delay,8,-0.068354085,0.2229367,0.3688374,0.325868
delay,9,-0.07657456,0.22101451,0.3469265,0.32472414
delay,10,-0.079411924,0.24097352,0.32821348,0.32688096
distortion,1,-0.020685459,0.27157012,0.43843827,0.3316755
distortion,2,-0.0048705386,0.23557423,0.44008672,0.3258142
distortion,3,-0.014346824,0.25281963,0.43443072,0.3224873
distortion,4,-0.0031639854,0.23349681,0.46579456,0.3190802
distortion,5,0.0111174015,0.24319498,0.45934147,0.3019433
distortion,6,-0.00038372222,0.23746152,0.47106293,0.30874714
distortion,7,0.005105802,0.23225984,0.47151,0.3265618
distortion,8,0.012476779,0.23065254,0.4780817,0.3061786
distortion,9,0.01464376,0.21848227,0.48476025,0.30656484
distortion,10,0.02761609,0.211772,0.50127393,0.2914856
eq,1,-0.0016221853,0.23750909,0.4675866,0.33337817
eq,2,0.02267518,0.23857504,0.46633875,0.32489297
eq,3,0.020271208,0.25240496,0.42249742,0.36603934
eq,4,0.0052853273,0.23599187,0.44618267,0.3620373
eq,5,-0.01313314,0.25674176,0.41583115,0.36232054
eq,6,-0.0027249008,0.22458233,0.39483386,0.36578456
eq,7,-0.03250666,0.2249804,0.40514818,0.3651463
eq,8,-0.0033539333,0.2413107,0.40775794,0.35540247
eq,9,-0.021788323,0.248355,0.39966905,0.35700497
eq,10,-0.011019005,0.24411456,0.41044885,0.37871397
phaser,1,-0.063715875,0.23834443,0.3641226,0.32933316
phaser,2,-0.05933987,0.24027443,0.37573263,0.33231896
phaser,3,-0.07464721,0.23962896,0.3752944,0.34147897
phaser,4,-0.06959834,0.23406515,0.38608775,0.34721038
phaser,5,-0.060128834,0.24832736,0.34861735,0.32979155
phaser,6,-0.04548658,0.24539244,0.37804115,0.33748975
phaser,7,-0.07168942,0.2427702,0.36872223,0.33903858
phaser,8,-0.08202692,0.21397787,0.36410043,0.3154037
phaser,9,-0.07562166,0.22814608,0.3691285,0.31624418
phaser,10,-0.08325188,0.22785555,0.38233885,0.33310366
reverb,1,-0.07521893,0.25355333,0.40769476,0.33442616
reverb,2,-0.07954705,0.24482451,0.40530673,0.32727993
reverb,3,-0.07955968,0.24801867,0.41857174,0.33134732
reverb,4,-0.06966636,0.23658231,0.41009274,0.32549605
reverb,5,-0.08785808,0.24103679,0.4102569,0.33128786
reverb,6,-0.063208506,0.24016102,0.391086,0.34196803
reverb,7,-0.06798247,0.23539217,0.41136703,0.34274012
reverb,8,-0.05496727,0.22840612,0.4307385,0.33197248
reverb,9,-0.04163672,0.23466054,0.445016,0.29662585
reverb,10,-0.043808717,0.22193997,0.44393593,0.28791484
