effect,level,mean_valence,std_valence,mean_arousal,std_arousal
chorus,1,0.030448008,0.16400872,0.040091913,0.19806893
chorus,2,0.031611566,0.16133605,0.04622713,0.19658874
chorus,3,0.029752256,0.1610439,0.05384573,0.19591738
chorus,4,0.027929936,0.16077939,0.059045404,0.19383924
chorus,5,0.026531,0.15776686,0.06455775,0.19209082
chorus,6,0.023669906,0.15508354,0.06682548,0.18982893
chorus,7,0.020256693,0.15277494,0.07121854,0.18671831
chorus,8,0.024013203,0.14844248,0.0771705,0.18290217
chorus,9,0.028529987,0.14650083,0.08147468,0.18065226
chorus,10,0.032269493,0.1440745,0.08669261,0.17662492
delay,1,-0.0051928572,0.15472853,0.024487812,0.20349942
delay,2,-0.0056578047,0.15129487,0.028686576,0.20203035
delay,3,-0.0079556,0.1507722,0.029183818,0.19905128
delay,4,-0.0077842465,0.15103936,0.032075815,0.20089024
delay,5,0.0041567506,0.15499046,0.04504474,0.20358229
delay,6,0.0044161044,0.15307009,0.039824545,0.19691394
delay,7,0.0052444683,0.15038168,0.039399877,0.19463749
delay,8,0.0017192331,0.14621839,0.039243028,0.19297047
delay,9,0.002293946,0.14957301,0.041019715,0.19552489
delay,10,-0.00075384893,0.14679228,0.046946477,0.19180982
distortion,1,0.053895738,0.17325056,0.062647685,0.20555057
distortion,2,0.061480734,0.17056833,0.06936759,0.20047879
distortion,3,0.0684522,0.16771398,0.07703245,0.19388679
distortion,4,0.07572654,0.16412248,0.08368939,0.18828776
distortion,5,0.08270747,0.16036466,0.09120604,0.18191239
distortion,6,0.08790092,0.15556385,0.09921287,0.17587627
distortion,7,0.09246534,0.1509157,0.10607429,0.16918579
distortion,8,0.097665995,0.14659023,0.1129914,0.16336025
distortion,9,0.10185932,0.14208965,0.11932781,0.15837331
distortion,10,0.10523132,0.13732985,0.12580192,0.15206115
eq,1,0.044767145,0.15682644,0.06073363,0.19208404
eq,2,0.049659006,0.1508816,0.06841459,0.18484879
eq,3,0.052439168,0.14754125,0.07188279,0.17946579
eq,4,0.054068126,0.14399004,0.07246446,0.1745866
eq,5,0.054475106,0.14180574,0.07203635,0.17007972
eq,6,0.054803997,0.14018513,0.07096178,0.16693546
eq,7,0.054076888,0.1371386,0.06873235,0.16419047
eq,8,0.05288106,0.13470264,0.06638838,0.16172484
eq,9,0.051229462,0.13281304,0.06459429,0.15955071
eq,10,0.050527558,0.13142857,0.063322805,0.15794437
phaser,1,0.02741839,0.17516299,0.029169846,0.21247041
phaser,2,0.025705868,0.17294821,0.027863136,0.21056582
phaser,3,0.026240012,0.17098126,0.02739739,0.20830715
phaser,4,0.026406027,0.16785976,0.025893556,0.20671351
phaser,5,0.024062887,0.16477537,0.02543645,0.20457749
phaser,6,0.022662977,0.16357867,0.024728667,0.1998604
phaser,7,0.024180958,0.16029523,0.028670687,0.19919099
phaser,8,0.026168888,0.15716222,0.02940371,0.19471884
phaser,9,0.027321048,0.15354407,0.033921868,0.19428787
phaser,10,0.030974738,0.15345237,0.037187804,0.19266556
reverb,1,-0.027738767,0.14295739,0.009869924,0.19301504
reverb,2,-0.031291563,0.14123961,0.0070487736,0.19192529
reverb,3,-0.0352249,0.13964377,0.0039019259,0.18977346
reverb,4,-0.039945513,0.13795763,0.00048612672,0.18829548
reverb,5,-0.043918185,0.13556838,-0.0038857711,0.18660633
reverb,6,-0.048677854,0.1337563,-0.0073604286,0.18431409
reverb,7,-0.05393496,0.13078116,-0.011132428,0.18204884
reverb,8,-0.06048571,0.1282056,-0.016912077,0.1789413
reverb,9,-0.06968662,0.1247083,-0.023524262,0.17496473
reverb,10,-0.07955916,0.12067851,-0.030932851,0.16988073
