effect,level,label,proba
chorus,1,joyfulActivation,0.24626395
chorus,1,neutral,0.055318434
chorus,1,nostalgia,0.093958296
chorus,1,peacefulness,0.21002789
chorus,1,power,0.10201378
chorus,1,sadness,0.19531503
chorus,1,tenderness,0.13995805
chorus,1,tension,0.23858188
chorus,1,transcendence,0.07421214
chorus,1,wonder,0.04933854
chorus,2,joyfulActivation,0.2530805
chorus,2,neutral,0.055616654
chorus,2,nostalgia,0.086281754
chorus,2,peacefulness,0.19360386
chorus,2,power,0.111112654
chorus,2,sadness,0.18642403
chorus,2,tenderness,0.10056895
chorus,2,tension,0.25040653
chorus,2,transcendence,0.07849471
chorus,2,wonder,0.043168496
chorus,3,joyfulActivation,0.26817018
chorus,3,neutral,0.04669739
chorus,3,nostalgia,0.087564364
chorus,3,peacefulness,0.18120188
chorus,3,power,0.120014794
chorus,3,sadness,0.15463166
chorus,3,tenderness,0.0813769
chorus,3,tension,0.26203313
chorus,3,transcendence,0.07944957
chorus,3,wonder,0.04496737
chorus,4,joyfulActivation,0.2901262
chorus,4,neutral,0.040920228
chorus,4,nostalgia,0.08404404
chorus,4,peacefulness,0.1741577
chorus,4,power,0.11777562
chorus,4,sadness,0.12303867
chorus,4,tenderness,0.07159848
chorus,4,tension,0.26985055
chorus,4,transcendence,0.080331296
chorus,4,wonder,0.0447149
chorus,5,joyfulActivation,0.2841304
chorus,5,neutral,0.039412923
chorus,5,nostalgia,0.08706299
chorus,5,peacefulness,0.18739831
chorus,5,power,0.1250848
chorus,5,sadness,0.11167668
chorus,5,tenderness,0.066171914
chorus,5,tension,0.27604592
chorus,5,transcendence,0.085919894
chorus,5,wonder,0.045658775
chorus,6,joyfulActivation,0.29092088
chorus,6,neutral,0.02998536
chorus,6,nostalgia,0.089119695
chorus,6,peacefulness,0.18170117
chorus,6,power,0.117605366
chorus,6,sadness,0.105615534
chorus,6,tenderness,0.06948551
chorus,6,tension,0.26518154
chorus,6,transcendence,0.07601392
chorus,6,wonder,0.05229948
chorus,7,joyfulActivation,0.29688397
chorus,7,neutral,0.027453896
chorus,7,nostalgia,0.10093961
chorus,7,peacefulness,0.19580346
chorus,7,power,0.121815
chorus,7,sadness,0.10319606
chorus,7,tenderness,0.06949557
chorus,7,tension,0.25676104
chorus,7,transcendence,0.06625835
chorus,7,wonder,0.06262149
chorus,8,joyfulActivation,0.30780527
chorus,8,neutral,0.027636478
chorus,8,nostalgia,0.099862695
chorus,8,peacefulness,0.1864426
chorus,8,power,0.13646796
chorus,8,sadness,0.10433001
chorus,8,tenderness,0.070199795
chorus,8,tension,0.25800845
chorus,8,transcendence,0.057242613
chorus,8,wonder,0.085426904
chorus,9,joyfulActivation,0.31321076
chorus,9,neutral,0.025719982
chorus,9,nostalgia,0.11707149
chorus,9,peacefulness,0.18130621
chorus,9,power,0.12771766
chorus,9,sadness,0.10117273
chorus,9,tenderness,0.06694272
chorus,9,tension,0.25537378
chorus,9,transcendence,0.045013793
chorus,9,wonder,0.09600846
chorus,10,joyfulActivation,0.32766858
chorus,10,neutral,0.02584615
chorus,10,nostalgia,0.1284192
chorus,10,peacefulness,0.17736962
chorus,10,power,0.12811814
chorus,10,sadness,0.09895762
chorus,10,tenderness,0.06984408
chorus,10,tension,0.26550287
chorus,10,transcendence,0.038712345
chorus,10,wonder,0.097323604
delay,1,joyfulActivation,0.15458104
delay,1,neutral,0.06621458
delay,1,nostalgia,0.100460365
delay,1,peacefulness,0.25757366
delay,1,power,0.100250155
delay,1,sadness,0.24024914
delay,1,tenderness,0.12111809
delay,1,tension,0.24130483
delay,1,transcendence,0.067283385
delay,1,wonder,0.057078864
delay,2,joyfulActivation,0.14674716
delay,2,neutral,0.058901876
delay,2,nostalgia,0.10441471
delay,2,peacefulness,0.23572543
delay,2,power,0.103467956
delay,2,sadness,0.25398427
delay,2,tenderness,0.11172442
delay,2,tension,0.24527925
delay,2,transcendence,0.057408817
delay,2,wonder,0.055940557
delay,3,joyfulActivation,0.14082882
delay,3,neutral,0.061664063
delay,3,nostalgia,0.10135776
delay,3,peacefulness,0.23591457
delay,3,power,0.11312393
delay,3,sadness,0.252006
delay,3,tenderness,0.10309529
delay,3,tension,0.2700908
delay,3,transcendence,0.063800335
delay,3,wonder,0.06490231
delay,4,joyfulActivation,0.14442238
delay,4,neutral,0.056450717
delay,4,nostalgia,0.10512093
delay,4,peacefulness,0.23653491
delay,4,power,0.10668678
delay,4,sadness,0.25036305
delay,4,tenderness,0.10374653
delay,4,tension,0.25094807
delay,4,transcendence,0.052823547
delay,4,wonder,0.05747579
delay,5,joyfulActivation,0.13186494
delay,5,neutral,0.05674749
delay,5,nostalgia,0.10679118
delay,5,peacefulness,0.22604968
delay,5,power,0.09788725
delay,5,sadness,0.2541192
delay,5,tenderness,0.10773256
delay,5,tension,0.25526574
delay,5,transcendence,0.058422938
delay,5,wonder,0.06198857
delay,6,joyfulActivation,0.12608361
delay,6,neutral,0.05870947
delay,6,nostalgia,0.11011871
delay,6,peacefulness,0.20972556
delay,6,power,0.098105304
delay,6,sadness,0.26043266
delay,6,tenderness,0.10135268
delay,6,tension,0.26156914
delay,6,transcendence,0.056929
delay,6,wonder,0.06484679
delay,7,joyfulActivation,0.13169271
delay,7,neutral,0.058726594
delay,7,nostalgia,0.11511216
delay,7,peacefulness,0.21494159
delay,7,power,0.09666266
delay,7,sadness,0.25358108
delay,7,tenderness,0.10797621
delay,7,tension,0.26612088
delay,7,transcendence,0.052201226
delay,7,wonder,0.06032008
delay,8,joyfulActivation,0.13625628
delay,8,neutral,0.059280217
delay,8,nostalgia,0.12030429
delay,8,peacefulness,0.21000586
delay,8,power,0.0958774
delay,8,sadness,0.25045767
delay,8,tenderness,0.10143131
delay,8,tension,0.25824323
delay,8,transcendence,0.05173284
delay,8,wonder,0.06448201
delay,9,joyfulActivation,0.14565375
delay,9,neutral,0.052665547
delay,9,nostalgia,0.12773564
delay,9,peacefulness,0.19314113
delay,9,power,0.0905373
delay,9,sadness,0.246894
delay,9,tenderness,0.10303882
delay,9,tension,0.27509743
delay,9,transcendence,0.045518044
delay,9,wonder,0.066519625
delay,10,joyfulActivation,0.1472113
delay,10,neutral,0.047357112
delay,10,nostalgia,0.12796004
delay,10,peacefulness,0.18816954
delay,10,power,0.09601922
delay,10,sadness,0.2445757
delay,10,tenderness,0.10558846
delay,10,tension,0.27663356
delay,10,transcendence,0.04623889
delay,10,wonder,0.07162851
distortion,1,joyfulActivation,0.226325
distortion,1,neutral,0.09436865
distortion,1,nostalgia,0.0975252
distortion,1,peacefulness,0.2905408
distortion,1,power,0.14516178
distortion,1,sadness,0.22409967
distortion,1,tenderness,0.13768391
distortion,1,tension,0.21099323
distortion,1,transcendence,0.09113405
distortion,1,wonder,0.104679935
distortion,2,joyfulActivation,0.22424138
distortion,2,neutral,0.09066417
distortion,2,nostalgia,0.091906935
distortion,2,peacefulness,0.2806455
distortion,2,power,0.13810967
distortion,2,sadness,0.21680033
distortion,2,tenderness,0.13093439
distortion,2,tension,0.20417954
distortion,2,transcendence,0.092619464
distortion,2,wonder,0.10374485
distortion,3,joyfulActivation,0.22442646
distortion,3,neutral,0.08437907
distortion,3,nostalgia,0.08682574
distortion,3,peacefulness,0.26762015
distortion,3,power,0.13618313
distortion,3,sadness,0.21303181
distortion,3,tenderness,0.12135732
distortion,3,tension,0.20353788
distortion,3,transcendence,0.09268698
distortion,3,wonder,0.10226948
distortion,4,joyfulActivation,0.22512588
distortion,4,neutral,0.076865494
distortion,4,nostalgia,0.08119641
distortion,4,peacefulness,0.25537786
distortion,4,power,0.13270769
distortion,4,sadness,0.20551576
distortion,4,tenderness,0.11421189
distortion,4,tension,0.20294836
distortion,4,transcendence,0.0927483
distortion,4,wonder,0.10099266
distortion,5,joyfulActivation,0.22486377
distortion,5,neutral,0.07515128
distortion,5,nostalgia,0.07842078
distortion,5,peacefulness,0.24595699
distortion,5,power,0.13066232
distortion,5,sadness,0.20058434
distortion,5,tenderness,0.10897939
distortion,5,tension,0.1999425
distortion,5,transcendence,0.093721926
distortion,5,wonder,0.09788551
distortion,6,joyfulActivation,0.22917353
distortion,6,neutral,0.07369312
distortion,6,nostalgia,0.073880546
distortion,6,peacefulness,0.22928448
distortion,6,power,0.12648304
distortion,6,sadness,0.186185
distortion,6,tenderness,0.100708246
distortion,6,tension,0.19768019
distortion,6,transcendence,0.09500246
distortion,6,wonder,0.09295426
distortion,7,joyfulActivation,0.22517206
distortion,7,neutral,0.06961665
distortion,7,nostalgia,0.07294014
distortion,7,peacefulness,0.216998
distortion,7,power,0.12372297
distortion,7,sadness,0.18349737
distortion,7,tenderness,0.09603768
distortion,7,tension,0.19420831
distortion,7,transcendence,0.094087966
distortion,7,wonder,0.089664534
distortion,8,joyfulActivation,0.22194518
distortion,8,neutral,0.06492012
distortion,8,nostalgia,0.06880998
distortion,8,peacefulness,0.19976868
distortion,8,power,0.118529625
distortion,8,sadness,0.18064824
distortion,8,tenderness,0.09214051
distortion,8,tension,0.19169797
distortion,8,transcendence,0.095179535
distortion,8,wonder,0.0848387
distortion,9,joyfulActivation,0.21795906
distortion,9,neutral,0.06172476
distortion,9,nostalgia,0.06533097
distortion,9,peacefulness,0.18687077
