effect,level,mean_valence,std_valence,mean_arousal,std_arousal
chorus,1,-0.021820003,0.23879051,0.36563686,0.281739
chorus,2,-0.0056233355,0.23444813,0.36190552,0.2658752
chorus,3,-0.0001548899,0.23256388,0.38261715,0.25900906
chorus,4,0.0017529376,0.22593336,0.3800814,0.2559889
chorus,5,0.007933075,0.21096966,0.3769695,0.24906483
chorus,6,0.0076410007,0.20473558,0.39024937,0.23103046
chorus,7,0.01629961,0.19625092,0.40836364,0.22411829
chorus,8,0.02643508,0.16835485,0.4204424,0.22452947
chorus,9,0.027958736,0.15935008,0.392006,0.22357537
chorus,10,0.026451318,0.15297855,0.3836945,0.2245594
delay,1,-0.10341674,0.24924448,0.27782223,0.3103465
delay,2,-0.10802986,0.22737409,0.268338,0.31164524
delay,3,-0.1062032,0.23724456,0.25685897,0.29379946
delay,4,-0.10760999,0.23230682,0.26034722,0.3009137
delay,5,-0.115838796,0.23859905,0.24272162,0.29660246
delay,6,-0.11387454,0.22168835,0.25289962,0.28281465
delay,7,-0.12079,0.22588105,0.26346585,0.27174926
delay,8,-0.106795475,0.22723794,0.2618168,0.28241852
delay,9,-0.11195444,0.20912841,0.25437132,0.27623788
delay,10,-0.10236128,0.21083307,0.23901632,0.2737269
distortion,1,-0.011148795,0.30476984,0.39062765,0.30047303
distortion,2,-0.012429818,0.2976184,0.39494175,0.29016826
distortion,3,-0.0069077346,0.2861557,0.4026332,0.28017485
distortion,4,-0.0035370851,0.27806762,0.4093402,0.26752296
distortion,5,-0.008857176,0.26811668,0.41552144,0.26557153
distortion,6,-0.017202796,0.26152694,0.42502776,0.26644227
distortion,7,-0.028184706,0.2635957,0.4284445,0.25122333
distortion,8,-0.036168866,0.2671204,0.42782634,0.25638205
distortion,9,-0.06122376,0.26455092,0.4314558,0.2500172
distortion,10,-0.08375775,0.25673756,0.4433823,0.24192564
eq,1,-0.0014605054,0.27414066,0.39331007,0.2418779
eq,2,0.009568046,0.26185542,0.3768239,0.23052779
eq,3,0.013530079,0.25610402,0.35609657,0.2423055
eq,4,0.019843755,0.25793147,0.35660973,0.22743304
eq,5,0.020470917,0.25539222,0.34661454,0.22450154
eq,6,0.035363,0.24571629,0.34074882,0.22210601
eq,7,0.04331192,0.24566545,0.33439717,0.22127798
eq,8,0.046761177,0.24356394,0.3264881,0.22122608
eq,9,0.040183417,0.24554294,0.31792492,0.22792086
eq,10,0.042894192,0.2420085,0.31683344,0.22759011
phaser,1,-0.041810352,0.33473745,0.37802,0.332249
phaser,2,-0.05321376,0.32418555,0.38165095,0.31709453
phaser,3,-0.045777142,0.31595328,0.38234082,0.33108386
phaser,4,-0.040184356,0.3139216,0.3835767,0.3157743
phaser,5,-0.03465281,0.30664033,0.37632114,0.31269
phaser,6,-0.021710007,0.28993726,0.3747982,0.32179987
phaser,7,-0.013463482,0.28849542,0.36102897,0.30485046
phaser,8,0.0074440246,0.2704943,0.3554416,0.2932316
phaser,9,0.010882493,0.24267994,0.36143523,0.2848533
phaser,10,0.021638464,0.23468101,0.3676595,0.27965385
reverb,1,-0.102016084,0.22814734,0.32855612,0.3150023
reverb,2,-0.097604334,0.22551787,0.32330093,0.31518897
reverb,3,-0.09247698,0.23186602,0.3246878,0.31801882
reverb,4,-0.08993366,0.2304068,0.32336193,0.30984342
reverb,5,-0.090931766,0.22850707,0.3223159,0.29917628
reverb,6,-0.09079206,0.22213304,0.31948438,0.3025111
reverb,7,-0.09447257,0.22851552,0.33188766,0.29860115
reverb,8,-0.099928506,0.22301172,0.33956614,0.29498124
reverb,9,-0.0912109,0.22394496,0.3410056,0.29351974
reverb,10,-0.08869206,0.21651527,0.36096522,0.27625483
