effect,level,mean_valence,std_valence,mean_arousal,std_arousal
chorus,1,0.0011644539,0.15417776,0.011450334,0.19300143
chorus,2,-0.0020891589,0.15348524,0.012647818,0.19155452
chorus,3,-0.009143473,0.15335444,0.012139607,0.19243407
chorus,4,-0.020823276,0.15321743,0.012065858,0.19383976
chorus,5,-0.03660026,0.15427008,0.0069629336,0.19610482
chorus,6,-0.044708908,0.15261418,0.00847789,0.19446896
chorus,7,-0.0406133,0.15162839,0.011565457,0.19531222
chorus,8,-0.032110125,0.14981958,0.013835667,0.19509254
chorus,9,-0.024598124,0.14952445,0.017494926,0.19237769
chorus,10,-0.021734755,0.14685723,0.020187173,0.18965276
delay,1,0.014115793,0.14439735,0.03519393,0.18783265
delay,2,0.00908906,0.14244741,0.025771158,0.18602555
delay,3,0.007965055,0.1447859,0.022635318,0.18666868
delay,4,0.0072925086,0.14339313,0.025840078,0.1860526
delay,5,0.0008358128,0.1415793,0.02021628,0.18131274
delay,6,-0.00564457,0.13957483,0.014304324,0.18319885
delay,7,-0.012185652,0.14026047,0.009132631,0.18322526
delay,8,-0.015958397,0.13787639,0.0089545725,0.1815089
delay,9,-0.015279411,0.14112635,0.011110658,0.18303508
delay,10,-0.01920697,0.13752665,0.0072883544,0.17998391
distortion,1,0.020840952,0.1597449,0.028999303,0.1880939
distortion,2,0.021903092,0.15655583,0.028017651,0.18359679
distortion,3,0.02057637,0.15445857,0.027147789,0.18105674
distortion,4,0.019241191,0.15231168,0.025375888,0.17903651
distortion,5,0.018893588,0.1498762,0.023128612,0.17545608
distortion,6,0.017672734,0.1504982,0.02269588,0.17321253
distortion,7,0.017050574,0.14766686,0.019755313,0.1713791
distortion,8,0.016490204,0.14534463,0.019940585,0.1692215
distortion,9,0.016853282,0.14227466,0.022428082,0.16735101
distortion,10,0.016445028,0.13951501,0.02491202,0.1644502
eq,1,0.026953671,0.16364266,0.03583164,0.19132294
eq,2,0.028151236,0.16292119,0.038962312,0.18848857
eq,3,0.030806545,0.1614662,0.042395048,0.18537065
eq,4,0.03238278,0.15965895,0.04547089,0.18359488
eq,5,0.032836966,0.1581121,0.04659697,0.18132217
eq,6,0.032681298,0.15712525,0.04721979,0.1801409
eq,7,0.032488246,0.15653408,0.048019968,0.17856877
eq,8,0.032549016,0.1556019,0.048524942,0.17807372
eq,9,0.031887975,0.15480286,0.04848768,0.17741609
eq,10,0.03213812,0.15415451,0.048407212,0.177154
phaser,1,0.023252537,0.16787638,0.031335294,0.20093912
phaser,2,0.02322706,0.16732597,0.030460557,0.20135903
phaser,3,0.021789487,0.1664251,0.028056912,0.19944361
phaser,4,0.022297315,0.16577242,0.02937548,0.20012721
phaser,5,0.023294264,0.16455144,0.03157608,0.19823018
phaser,6,0.02480969,0.16203782,0.0335936,0.19717027
phaser,7,0.025656275,0.1595414,0.03652582,0.19475657
phaser,8,0.02862692,0.15752196,0.03995433,0.19325435
phaser,9,0.029258424,0.15484202,0.041945327,0.18822105
phaser,10,0.028862722,0.15026753,0.046472806,0.18560138
reverb,1,-0.06354048,0.13003866,-0.038024865,0.17807351
reverb,2,-0.06752037,0.129237,-0.042129185,0.17616473
reverb,3,-0.07220135,0.12733988,-0.046383586,0.17459866
reverb,4,-0.07640133,0.12548435,-0.050636824,0.17191985
reverb,5,-0.082727864,0.12387723,-0.056078725,0.16892448
reverb,6,-0.089056365,0.122799344,-0.062079765,0.16625804
reverb,7,-0.09562032,0.11964763,-0.06810732,0.16377774
reverb,8,-0.10330916,0.11914191,-0.07538716,0.16022433
reverb,9,-0.11190677,0.11618507,-0.085798085,0.15453784
reverb,10,-0.12357962,0.1142387,-0.096286625,0.14866503
