effect,level,Anger,Calmness,Excitement,Sadness
chorus,1,0.21942110177404295,0.38468720821662,0.13445378151260504,0.26143790849673204
chorus,2,0.2661064425770308,0.33239962651727356,0.08216619981325864,0.31932773109243695
chorus,3,0.32679738562091504,0.20448179271708683,0.05322128851540616,0.415499533146592
chorus,4,0.3930905695611578,0.10084033613445378,0.032679738562091505,0.4733893557422969
chorus,5,0.4369747899159664,0.029878618113912233,0.014005602240896359,0.5191409897292251
chorus,6,0.42203548085901027,0.008403361344537815,0.02334267040149393,0.5462184873949579
chorus,7,0.49019607843137253,0.011204481792717087,0.02334267040149393,0.4752567693744164
chorus,8,0.5163398692810458,0.032679738562091505,0.06442577030812324,0.3865546218487395
chorus,9,0.4995331465919701,0.055088702147525676,0.0915032679738562,0.353874883286648
chorus,10,0.5228758169934641,0.06069094304388422,0.08870214752567694,0.3277310924369748
delay,1,0.3800186741363212,0.22969187675070027,0.08683473389355742,0.3034547152194211
delay,2,0.37254901960784315,0.2791783380018674,0.06255835667600373,0.2857142857142857
delay,3,0.4519140989729225,0.2567693744164332,0.04388422035480859,0.24743230625583568
delay,4,0.4304388422035481,0.2334267040149393,0.06442577030812324,0.27170868347338933
delay,5,0.4388422035480859,0.24556489262371614,0.04108309990662932,0.27450980392156865
delay,6,0.45751633986928103,0.23062558356676005,0.022408963585434174,0.28944911297852477
delay,7,0.4733893557422969,0.20541549953314658,0.028944911297852476,0.29225023342670403
delay,8,0.49019607843137253,0.17740429505135388,0.014939309056956116,0.31746031746031744
delay,9,0.5088702147525677,0.1858076563958917,0.01680672268907563,0.28851540616246496
delay,10,0.5378151260504201,0.16806722689075632,0.009337068160597572,0.28478057889822594
distortion,1,0.2605042016806723,0.26517273576097106,0.2801120448179272,0.1942110177404295
distortion,2,0.2689075630252101,0.25583566760037346,0.31092436974789917,0.16433239962651727
distortion,3,0.2875816993464052,0.2334267040149393,0.33053221288515405,0.1484593837535014
distortion,4,0.32212885154061627,0.20354808590102708,0.33426704014939307,0.1400560224089636
distortion,5,0.3585434173669468,0.17647058823529413,0.3183940242763772,0.1465919701213819
distortion,6,0.3912231559290383,0.1531279178338002,0.31932773109243695,0.13632119514472454
distortion,7,0.4304388422035481,0.12605042016806722,0.3118580765639589,0.13165266106442577
distortion,8,0.46405228758169936,0.1157796451914099,0.2950513538748833,0.12511671335200747
distortion,9,0.480859010270775,0.0896358543417367,0.29785247432306255,0.13165266106442577
distortion,10,0.5060690943043884,0.07282913165266107,0.2913165266106443,0.12978524743230627
eq,1,0.39215686274509803,0.018674136321195144,0.3202614379084967,0.2689075630252101
eq,2,0.3902894491129785,0.022408963585434174,0.2969187675070028,0.2903828197945845
eq,3,0.3790849673202614,0.03734827264239029,0.30158730158730157,0.2819794584500467
eq,4,0.38748832866479926,0.04855275443510738,0.30158730158730157,0.2623716153127918
eq,5,0.37815126050420167,0.047619047619047616,0.3146591970121382,0.25957049486461253
eq,6,0.38095238095238093,0.04481792717086835,0.3211951447245565,0.2530345471521942
eq,7,0.3902894491129785,0.0457516339869281,0.31746031746031744,0.24649859943977592
eq,8,0.38562091503267976,0.05695611577964519,0.32866479925303455,0.22875816993464052
eq,9,0.39402427637721754,0.051353874883286646,0.32866479925303455,0.22595704948646125
eq,10,0.3949579831932773,0.05042016806722689,0.33426704014939307,0.2203548085901027
phaser,1,0.22782446311858076,0.31092436974789917,0.23716153127917833,0.22408963585434175
phaser,2,0.2250233426704015,0.3118580765639589,0.23996265172735762,0.223155929038282
phaser,3,0.21942110177404295,0.30718954248366015,0.23809523809523808,0.23529411764705882
phaser,4,0.20915032679738563,0.3118580765639589,0.23996265172735762,0.23902894491129786
phaser,5,0.19701213818860877,0.3137254901960784,0.24276377217553688,0.24649859943977592
phaser,6,0.1942110177404295,0.31746031746031744,0.24183006535947713,0.24649859943977592
phaser,7,0.19607843137254902,0.3118580765639589,0.24649859943977592,0.24556489262371614
phaser,8,0.17740429505135388,0.3557422969187675,0.2549019607843137,0.2119514472455649
phaser,9,0.17553688141923435,0.36321195144724555,0.28664799253034545,0.1746031746031746
phaser,10,0.16526610644257703,0.34173669467787116,0.3314659197012138,0.161531279178338
reverb,1,0.3520074696545285,0.12978524743230627,0.04201680672268908,0.47619047619047616
reverb,2,0.3622782446311858,0.11297852474323063,0.036414565826330535,0.488328664799253
reverb,3,0.3557422969187675,0.10177404295051354,0.0392156862745098,0.5032679738562091
reverb,4,0.36507936507936506,0.0896358543417367,0.03734827264239029,0.5079365079365079
reverb,5,0.357609710550887,0.07563025210084033,0.03361344537815126,0.5331465919701214
reverb,6,0.37441643323996265,0.056022408963585436,0.02334267040149393,0.5462184873949579
reverb,7,0.3641456582633053,0.04388422035480859,0.021475256769374416,0.5704948646125116
reverb,8,0.35480859010270777,0.0392156862745098,0.013071895424836602,0.5929038281979458
reverb,9,0.3473389355742297,0.03361344537815126,0.013071895424836602,0.6059757236227824
reverb,10,0.34827264239028943,0.056022408963585436,0.0056022408963585435,0.5901027077497666
