effect,level,mean_valence,std_valence,mean_arousal,std_arousal
chorus,1,-0.054369997,0.23130794,0.36355594,0.292701
chorus,2,-0.061781127,0.23048176,0.35281268,0.2955092
chorus,3,-0.07664136,0.21914612,0.34733403,0.298163
chorus,4,-0.09449071,0.20623994,0.3376379,0.28797153
chorus,5,-0.1017258,0.20647138,0.31634134,0.29670036
chorus,6,-0.111711174,0.21758515,0.33257368,0.2876362
chorus,7,-0.09593255,0.21151108,0.32657552,0.25819206
chorus,8,-0.08844328,0.19576491,0.3165169,0.24939416
chorus,9,-0.09473564,0.20816198,0.3040679,0.25570685
chorus,10,-0.08311859,0.23192023,0.30900398,0.22475944
delay,1,-0.10254034,0.22438891,0.35786366,0.27224174
delay,2,-0.119950145,0.21148892,0.37413862,0.25787777
delay,3,-0.120757304,0.19829352,0.346344,0.2689908
delay,4,-0.12192371,0.19776468,0.33985925,0.26955906
delay,5,-0.1279994,0.21359289,0.36026827,0.26134405
delay,6,-0.14244908,0.19797783,0.35632592,0.2522457
delay,7,-0.14098962,0.18603845,0.37136358,0.26067993
delay,8,-0.15368447,0.1905508,0.383721,0.25765315
delay,9,-0.14876518,0.18840714,0.37533924,0.24702933
delay,10,-0.16552117,0.18762794,0.36841622,0.26330033
distortion,1,-0.057706166,0.2789409,0.4230296,0.2992308
distortion,2,-0.046100575,0.27465296,0.42131183,0.2866536
distortion,3,-0.040957175,0.26727128,0.41459936,0.27507153
distortion,4,-0.037149735,0.2621232,0.41396704,0.2610389
distortion,5,-0.031805255,0.26142266,0.4184407,0.24466969
distortion,6,-0.026372502,0.26167947,0.41622713,0.23600818
distortion,7,-0.008843914,0.27042672,0.41138464,0.232254
distortion,8,-0.0051918942,0.27337658,0.40182045,0.21611723
distortion,9,0.0046835323,0.2841863,0.3881654,0.22331043
distortion,10,0.0077635185,0.28716272,0.37355295,0.2271908
eq,1,0.011052371,0.2553239,0.38499266,0.2574564
eq,2,0.0025292567,0.23304953,0.38574618,0.26347414
eq,3,0.007007005,0.24381185,0.37562883,0.25654182
eq,4,0.0010998409,0.23422527,0.37940156,0.24878512
eq,5,-0.0027861788,0.23280805,0.37572515,0.25247636
eq,6,-0.004005924,0.23270245,0.37599924,0.25095782
eq,7,0.0011278238,0.23858884,0.37673712,0.25680333
eq,8,0.00669682,0.24018452,0.36844942,0.26394165
eq,9,0.00914029,0.23862924,0.36465412,0.26626
eq,10,0.0114473365,0.23766306,0.36597222,0.2663748
phaser,1,-0.06877102,0.26913118,0.4135792,0.33845237
phaser,2,-0.07944333,0.2784818,0.4034592,0.3432255
phaser,3,-0.07414009,0.27778855,0.40981343,0.33749032
phaser,4,-0.06553638,0.2826844,0.41259837,0.33461568
phaser,5,-0.0725224,0.27082086,0.3915137,0.33513078
phaser,6,-0.05935527,0.2725872,0.40056032,0.3382416
phaser,7,-0.06358422,0.26571625,0.3973477,0.32636258
phaser,8,-0.053724784,0.26352715,0.39847374,0.32027477
phaser,9,-0.065972686,0.24688724,0.38378555,0.30693582
phaser,10,-0.055061754,0.24472614,0.36602956,0.30796862
reverb,1,-0.076066576,0.23074743,0.2728033,0.23408191
reverb,2,-0.074727565,0.22850224,0.2626941,0.23384225
reverb,3,-0.07213826,0.21830972,0.2543084,0.23819801
reverb,4,-0.07623045,0.20877889,0.25796753,0.23505741
reverb,5,-0.081541814,0.20783328,0.26024127,0.22483243
reverb,6,-0.08376416,0.19642256,0.27764425,0.22876342
reverb,7,-0.08918118,0.19384356,0.28331354,0.22252995
reverb,8,-0.09663944,0.18180224,0.29333672,0.22434446
reverb,9,-0.09229491,0.16689545,0.31259498,0.2279437
reverb,10,-0.08893343,0.1654662,0.3113092,0.22915292
